test_day,policy,cumulative_cost,total_shares_traded,final_inventory,avg_participation,max_participation,num_steps
2026-05-05,DQN,117051.30466991855,100000.0,0.0,0.001073987422905397,0.024921192482348038,78
2026-05-05,Random,78484.68428299787,100000.0,0.0,0.009676365519596844,0.03062728508259796,40
2026-05-05,TWAP,129297.74755620095,100000.00000000001,0.0,0.005172609856586444,0.011413420426510744,78
2026-05-05,VA-AC,125632.30189639408,100000.0,0.0,0.004069495545902582,0.006395753219862012,78
2026-05-05,VWAP-like,120536.09248659175,100000.0,0.0,0.003358465027907429,0.0036360991927859793,78
2026-05-06,DQN,417213.33744097635,100000.0,0.0,0.0009292002406509433,0.019728195750121125,78
2026-05-06,Random,198127.61682195246,100000.0,0.0,0.008086926945973967,0.03186743148502231,40
2026-05-06,TWAP,272901.4477156247,100000.00000000001,0.0,0.003614568692137495,0.008777082362790574,78
2026-05-06,VA-AC,293523.56824634015,100000.0,0.0,0.0029561688296760864,0.004726121272271846,78
2026-05-06,VWAP-like,308756.8393782154,100000.0,0.0,0.002472950993707998,0.002746437870082503,78
2026-05-07,DQN,-154825.1487158432,100000.0,0.0,0.0025300392668740203,0.018730099269526127,78
2026-05-07,Random,-19223.040268034736,100000.0,0.0,0.0057421302927123255,0.01732962559948414,40
2026-05-07,TWAP,-166741.48010089347,100000.00000000001,0.0,0.0030212613047670028,0.006038927858038743,78
2026-05-07,VA-AC,-175679.1353320282,100000.0,0.0,0.002613753705654897,0.0037162632972546103,78
2026-05-07,VWAP-like,-182695.60164790272,100000.0,0.0,0.002347254975788955,0.0025566947050852658,78
2026-05-08,DQN,203510.0697598263,100000.0,0.0,0.0012838148523198875,0.020694250723264064,78
2026-05-08,Random,153564.27848151492,100000.0,0.0,0.006952125610504447,0.01930308706407195,40
2026-05-08,TWAP,175009.7823975971,100000.00000000001,0.0,0.0036003945903121948,0.009294078956775385,78
2026-05-08,VA-AC,171847.58185761605,100000.0,0.0,0.003038873721541635,0.005004504053648284,78
2026-05-08,VWAP-like,173615.72370969917,100000.0,0.0,0.0025954787437941803,0.002859716602084733,78
2026-05-11,DQN,116955.57997906905,100000.0,0.0,0.0011672135789957143,0.033390361951523555,78
2026-05-11,Random,150114.83201589153,100000.0,0.0,0.00648457122971242,0.018329029995856047,40
2026-05-11,TWAP,150524.22856821827,100000.00000000001,0.0,0.003146404880265716,0.006671970027457724,78
