market_id,start_date,last_observed_date,n_observations,first_probability,final_probability,mean_probability,median_probability,min_probability,max_probability,probability_volatility,id,question,slug,category,endDate,closed,volume,liquidity,outcomes,outcomePrices,clobTokenIds,yes_token_id,endDate_dt,outcome,market_duration_days,probability_change,abs_probability_change,surprise,abs_surprise,realized_volatility,probability_range,trend,max_drawdown,reversals,shannon_entropy,skewness,kurtosis,autocorrelation
252101,2023-08-28 17:00:02+00:00,2023-09-10 23:00:02+00:00,319,0.5,0.005,0.5384326018808777,0.575,0.005,0.925,0.2036480678463426,252101,Will Rubiales remain Spanish FA president through Sep 11?,will-rubiales-remain-spanish-fa-president-through-sep-11,,2023-09-11T00:00:00Z,True,2006.932083,1e-06,"[""Yes"", ""No""]","[""0"", ""1""]","[""41741721166349223606736676826134468717029646453003321399132298739197359954315"", ""96535259257097673714272038712705402274321802631640805597647267821790642500135""]",41741721166349223606736676826134468717029646453003321399132298739197359954315,2023-09-11 00:00:00+00:00,0,13,-0.495,0.495,-0.005,0.005,1.033725,0.92,0.0017710323386762,0.9945945945945944,76,0.3475751302741529,-8.218013017651385,109.31987798484992,0.018226451522664243
252137,2023-09-14 16:00:02+00:00,2023-09-29 23:00:03+00:00,368,0.495,0.015,0.199578804347826,0.125,0.015,0.655,0.1642828500129449,252137,Will SAG end strike by Sep 30?,will-sag-end-strike-by-sep-30,,2023-09-30T00:00:00Z,True,288.659801,1925.0,"[""Yes"", ""No""]","[""0"", ""1""]","[""46905741216567959230274746430435657344387695316784508879008204313508935901635"", ""14171244920322425367828623097151027384682228538872960905656579349560452868886""]",46905741216567959230274746430435657344387695316784508879008204313508935901635,2023-09-30 00:00:00+00:00,0,15,-0.48,0.48,-0.015,0.015,0.62855,0.64,-0.0004720637413399,0.9770992366412212,61,0.27410690572531204,-1.824317653239869,45.338871471658095,-0.11936415803309808
252729,2023-10-23 19:00:02+00:00,2023-12-11 23:00:02+00:00,1181,0.8,0.954,0.8823217612193056,0.94,0.5,0.991,0.1613981200684851,252729,Will the Fed raise interest rates by 0 bps after its December meeting?,will-the-fed-raise-interest-rates-by-0-bps-after-its-december-meeting,,2023-12-12T00:00:00Z,True,29458.058773,0.0,"[""Yes"", ""No""]","[""1"", ""0""]","[""12408230057550388631927572995498874087256748510441651102756939481228298956369"", ""6197481189033769568626680072622228905698064013605526615840685296396952665260""]",12408230057550388631927572995498874087256748510441651102756939481228298956369,2023-12-12 00:00:00+00:00,1,49,0.1539999999999999,0.1539999999999999,0.046,0.046,0.7650630000000002,0.491,0.0002899952559827,0.4863636363636364,153,0.06560297390969114,-2.5596507479098425,212.83646215800158,9.102058120415827e-05
252730,2023-10-23 19:00:02+00:00,2023-12-12 23:00:03+00:00,1205,0.19,0.0155,0.0668468879668049,0.0315,0.0075,0.485,0.0708298901563436,252730,Will the Fed raise interest rates by 25 bps after its December meeting?,will-the-fed-raise-interest-rates-by-25-bps-after-its-december-meeting,,2023-12-13T00:00:00Z,True,27152.23446,0.0,"[""Yes"", ""No""]","[""0"", ""1""]","[""115570981123842187496894360626945622467149923579919003091466749371113066796130"", ""77552040852776799051437593597446435884981722751330016738803930489545113745822""]",115570981123842187496894360626945622467149923579919003091466749371113066796130,2023-12-13 00:00:00+00:00,0,50,-0.1745,0.1745,-0.0155,0.0155,0.4384577499999998,0.4775,-0.0001022992178518,0.968041237113402,152,0.16471238872227345,-0.14081102006242002,575.1987221058895,-0.00012843923857402351
253299,2023-12-06 19:00:03+00:00,2024-04-30 23:00:03+00:00,3508,0.475,0.007,0.4136030501710376,0.275,0.007,0.885,0.3218047810076381,253299,Fed rate cut by May 1?,fed-rate-cut-by-may-1,,2024-05-01T00:00:00Z,True,1608415.69825,,"[""Yes"", ""No""]","[""0"", ""1""]","[""83851667680366640878188644192787571386317308170863196325961219248319212102172"", ""47650054389696980232450331908585421883508458288008373691474298469705688414635""]",83851667680366640878188644192787571386317308170863196325961219248319212102172,2024-05-01 00:00:00+00:00,0,146,-0.4679999999999999,0.4679999999999999,-0.007,0.007,0.2625505,0.878,-0.0002917870577101,0.992090395480226,842,0.11077669831285085,-2.987499702859013,347.4572179747693,-0.12370481176695296
253361,2023-12-08 23:00:02+00:00,2024-01-30 23:00:02+00:00,1272,0.5,0.9925,0.7802928459119497,0.745,0.5,0.993,0.1031951668374712,253361,Will the Fed raise interest rates by 0 bps after its January meeting?,will-the-fed-raise-interest-rates-by-0-bps-after-its-january-meeting,,2024-01-31T00:00:00Z,True,11073.89907,0.0,"[""Yes"", ""No""]","[""1"", ""0""]","[""59161453739548749506626935916785382180160388335096779498212302359864194982839"", ""73186635410246392857006846302471547746435727607292452979995753918323557387952""]",59161453739548749506626935916785382180160388335096779498212302359864194982839,2024-01-31 00:00:00+00:00,1,53,0.4925,0.4925,0.0074999999999999,0.0074999999999999,0.61273625,0.493,0.0001868303864446,0.4565217391304348,70,0.08845040541825959,1.2497584992489679,125.39017167075119,0.0008940738824156243
253363,2023-12-08 23:00:02+00:00,2024-01-30 23:00:02+00:00,1272,0.5,0.002,0.0639599056603773,0.015,0.002,0.51,0.1160823792348973,253363,Will the Fed raise interest rates by 25 bps after its January meeting?,will-the-fed-raise-interest-rates-by-25-bps-after-its-january-meeting,,2024-01-31T00:00:00Z,True,13148.333332,0.0,"[""Yes"", ""No""]","[""0"", ""1""]","[""51882881036400115365960749695803801468287449607744554859820244759346785471919"", ""52523979217315432752683627714507510844376099776707024236171901768544983513386""]",51882881036400115365960749695803801468287449607744554859820244759346785471919,2024-01-31 00:00:00+00:00,0,53,-0.498,0.498,-0.002,0.002,0.9573995,0.508,-7.940200796708229e-05,0.996078431372549,81,0.08394322405346556,3.7951490358281283,137.7100111132245,-0.00027529635807667504
253364,2023-12-08 23:00:02+00:00,2024-01-30 23:00:02+00:00,1272,0.5,0.0075,0.0429528301886792,0.0225,0.006,0.51,0.0733028818402309,253364,Will the Fed decrease interest rates by 25 bps after its January meeting?,will-the-fed-decrease-interest-rates-by-25-bps-after-its-january-meeting,,2024-01-31T00:00:00Z,True,58887.595421000005,0.0,"[""Yes"", ""No""]","[""0"", ""1""]","[""7456327969315783330931352336688009175553298805923726402105094902683565728372"", ""61261108154188554068415889997843548833290904163268333664707838611169937840545""]",7456327969315783330931352336688009175553298805923726402105094902683565728372,2024-01-31 00:00:00+00:00,0,53,-0.4925,0.4925,-0.0075,0.0075,0.82806025,0.504,-3.758664453630998e-05,0.9882352941176472,184,0.058207262061894936,4.1714313882786005,249.49390208127818,0.003792370974167315
253383,2023-12-11 20:00:03+00:00,2023-12-11 23:00:02+00:00,4,0.53,0.565,0.55875,0.5674999999999999,0.53,0.57,0.019311050377094,253383,US inflation >0% from Oct to Nov 2023?,us-inflation-0-from-oct-to-nov-2023,,2023-12-12T00:00:00Z,True,12681.502661,0.0,"[""Yes"", ""No""]","[""1"", ""0""]","[""64174025193543892658593444612917146559481251477690273928013195540387952732062"", ""78628476807521765590768306437299483486033254728645143896258473749503439104977""]",64174025193543892658593444612917146559481251477690273928013195540387952732062,2023-12-12 00:00:00+00:00,1,0,0.0349999999999999,0.0349999999999999,0.435,0.435,0.0016249999999999,0.0399999999999999,0.0104999999999999,0.0087719298245614,2,,0.6745554845457657,-1.4999999999999998,
253384,2023-12-11 21:00:02+00:00,2024-06-29 23:00:03+00:00,4825,0.085,0.235,0.215500518134715,0.25,0.015,0.52,0.0653330798945241,253384,Elizabeth Warren crypto bill become law by June?,elizabeth-warren-crypto-bill-become-law-by-june,,2024-06-30T00:00:00Z,True,2645.982052,0.0,"[""Yes"", ""No""]","[""0"", ""1""]","[""112038124133433589874891875201535078613871332129650899627496635430069167471312"", ""103585743754729806814075137485701230171878021996323868934414469696776301895402""]",112038124133433589874891875201535078613871332129650899627496635430069167471312,2024-06-30 00:00:00+00:00,0,201,0.1499999999999999,0.1499999999999999,-0.235,0.235,0.6983999999999999,0.505,1.441544662832551e-05,0.971153846153846,51,0.025500544576608813,11.463316638116025,701.2211162689682,-8.020950253549646e-06
