early_realized_volatility,early_probability_range,early_trend,early_max_drawdown,early_reversals,early_entropy,market_id,horizon,abs_surprise,efficient_market
0.5437000000000001,0.8700000000000001,-0.0013234177431459475,0.935483870967742,32.0,0.09419007845092221,248594.0,0.25,0.02,0
0.0,0.0,0.0,0.0,0.0,,249778.0,0.25,0.4499999999999999,0
0.0056250000000000015,0.07500000000000001,-0.015000000000000003,0.18750000000000003,1.0,,250474.0,0.25,0.36,0
0.2228,0.695,0.0064731494920174165,0.6099290780141844,25.0,1.032947187673528,251025.0,0.25,0.005,1
0.08747499999999997,0.24,-6.756756756756761e-05,0.304054054054054,13.0,0.7256945348971955,251027.0,0.25,0.175,0
0.201275,0.31,-0.00022810570011137018,0.4285714285714286,45.0,0.9582870057549657,251045.0,0.25,0.06,0
0.09802500000000003,0.35000000000000003,-0.004854700854700855,0.6666666666666667,14.0,1.1813872020203826,251046.0,0.25,0.445,0
0.0002250000000000004,0.015000000000000013,-0.004500000000000004,0.06000000000000005,2.0,,252047.0,0.25,0.765,0
0.00122425,0.0395,-0.0045535714285714285,0.7181818181818181,3.0,,252048.0,0.25,0.01,0
0.0017339999999999994,0.036000000000000004,-9.26158529376992e-07,0.6545454545454547,129.0,0.3595717032752337,252055.0,0.25,0.006,1
0.09802500000000001,0.28500000000000003,-0.0018034323271665037,0.5700000000000001,21.0,0.39124401989118307,252101.0,0.25,0.005,1
0.287925,0.44,0.0008729559360695403,0.888888888888889,14.0,0.24125504142950074,252137.0,0.25,0.015,0
0.4176500000000001,0.43000000000000005,0.000630180335991474,0.3827160493827161,19.0,0.10409030615931877,252729.0,0.25,0.046,0
0.004524999999999998,0.12,-0.00031425931222635366,0.631578947368421,34.0,0.3663792530160246,252730.0,0.25,0.0155,0
0.14317500000000002,0.505,0.00024641019520253515,0.41984732824427484,205.0,0.19409154915410806,253299.0,0.25,0.007,1
0.23897499999999994,0.31999999999999995,0.0004110965928099145,0.3780487804878048,7.0,0.05954627881005202,253361.0,0.25,0.0074999999999999,1
0.319575,0.495,-0.0009581148979973765,0.9705882352941176,22.0,0.12337530684617112,253363.0,0.25,0.002,1
0.42349250000000005,0.493,-0.0004522324671299793,0.9666666666666667,31.0,0.13151190112324568,253364.0,0.25,0.0075,1
,,,,,,253383.0,0.25,0.435,0
0.456625,0.47000000000000003,9.968082355482723e-05,0.7019230769230769,17.0,0.032426964354274106,253384.0,0.25,0.235,0
0.7850000000000001,0.4600000000000001,0.0003494861512484982,0.49197860962566853,69.0,0.32877509301745717,253390.0,0.25,0.2249999999999999,0
0.32548975,0.437,-9.359090481257895e-05,0.8636363636363636,42.0,0.07740737556882342,253391.0,0.25,0.0005,1
0.9542249999999999,0.48,-0.00011487014921538141,0.7559055118110236,170.0,0.1751733767768866,253399.0,0.25,0.0005,1
0.5605250000000002,0.525,0.0019352701325178385,0.81,60.0,1.042632844195982,253401.0,0.25,0.065,0
0.21722500000000003,0.3450000000000001,4.210256556280074e-05,0.6272727272727274,35.0,0.31101557227087534,253402.0,0.25,0.5449999999999999,0
0.030600000000000002,0.17,-0.019000000000000003,0.5151515151515151,1.0,,253973.0,0.25,0.0004999999999999,1
0.08635000000000001,0.455,-0.00100977421807397,0.91,26.0,0.3268557166192655,254049.0,0.25,0.007,1
0.13655000000000003,0.355,0.00046058143083025873,0.40789473684210525,67.0,0.3833303171783929,254557.0,0.25,0.0055,1
0.020325000000000003,0.125,2.7928545900619564e-06,0.5102040816326531,39.0,0.07080693032348713,254571.0,0.25,0.0035,1
0.5786000000000001,0.6000000000000001,0.00033525242106987815,0.6691729323308271,217.0,0.1630085271721563,254572.0,0.25,0.0005,1
0.05157500000000001,0.265,0.00020569667016512045,0.33928571428571436,163.0,0.2845051995218554,254573.0,0.25,0.0005,1
0.5017999999999999,0.4149999999999999,-3.5941324540698483e-06,0.6379310344827587,173.0,0.1835063842621461,254576.0,0.25,0.0005,1
0.0245,0.295,-0.0001658921373454487,0.855072463768116,167.0,0.20648264710586606,254577.0,0.25,0.0005,1
0.004189749999999998,0.1625,-8.239189796830679e-05,0.8783783783783784,134.0,0.17061015349862074,254578.0,0.25,0.0004999999999999,1
0.0004547500000000002,0.0405,-2.1821915443047552e-05,0.8099999999999999,123.0,0.17639967884711846,254579.0,0.25,0.0005,1
0.00032724999999999985,0.023999999999999997,-7.68691676553544e-06,0.5393258426966292,154.0,0.1544779716379743,254580.0,0.25,0.0005,1
0.020050000000000002,0.16999999999999998,2.9720901831002116e-06,0.2764227642276423,51.0,0.089567444868048,254600.0,0.25,0.5,0
0.30242499999999994,0.5349999999999999,-0.011927453769559034,0.7697841726618705,23.0,1.2961946151790482,254631.0,0.25,0.0075,1
0.13514999999999994,0.39,-0.0003957504803610528,0.7722772277227723,19.0,0.11856970363323464,255333.0,0.25,0.05,0
0.22738999999999993,0.6405,-0.0004544844404005552,0.699617695248498,290.0,0.15932390058575766,255335.0,0.25,0.0134999999999999,0
0.13087199999999996,0.4845,-0.000314374348969369,0.5184590690208668,212.0,0.2513495057241759,255336.0,0.25,0.0004999999999999,1
0.10536499999999996,0.33499999999999996,-0.00025410044500274635,0.3526315789473684,172.0,0.12765218171327133,255337.0,0.25,0.0004999999999999,1
0.0007499999999999947,0.029999999999999916,-0.0034999999999999923,0.05263157894736828,1.0,,255410.0,0.25,0.535,0
