early_realized_volatility,early_probability_range,early_trend,early_max_drawdown,early_reversals,early_entropy,market_id,horizon,abs_surprise,efficient_market
0.5522,0.88,-0.0002945356919461643,0.9462365591397849,97.0,0.10821946475481499,248594.0,0.75,0.02,0
0.0,0.0,0.0,0.0,0.0,0.0,249778.0,0.75,0.4499999999999999,0
0.00875,0.08500000000000002,-0.0016176470588235312,0.21250000000000005,6.0,0.46341355882643,250474.0,0.75,0.36,0
0.509425,0.7,0.0021010866969190353,0.6099290780141844,60.0,0.48316638911326015,251025.0,0.75,0.005,1
0.17225,0.53,0.004772912612362155,0.47297297297297297,29.0,0.6202170577696319,251027.0,0.75,0.175,0
0.3153,0.515,-0.001150355072158645,0.8174603174603174,139.0,0.9530132464014487,251045.0,0.75,0.06,0
0.12712500000000004,0.35000000000000003,0.001093526726438119,0.6666666666666667,29.0,0.8553424002680944,251046.0,0.75,0.445,0
0.0002250000000000004,0.015000000000000013,-0.004500000000000004,0.06000000000000005,2.0,,252047.0,0.75,0.765,0
0.00131325,0.045,-0.0011403162055335972,0.8181818181818181,12.0,1.3356031336424652,252048.0,0.75,0.01,0
0.001966,0.042,-1.0161514347317216e-05,0.7636363636363637,234.0,0.19238918085113083,252055.0,0.75,0.006,1
0.38170000000000004,0.535,0.0018252434865159454,0.5700000000000001,62.0,0.4248639517279248,252101.0,0.75,0.005,1
0.62235,0.6,0.0002640401820750275,0.888888888888889,49.0,0.32005472549039865,252137.0,0.75,0.015,0
0.42197875000000007,0.49,0.0005072193646530454,0.3827160493827161,117.0,0.04087729590969052,252729.0,0.75,0.046,0
0.007483499999999998,0.1825,-0.0002040196512837176,0.9605263157894737,132.0,0.3585491370174433,252730.0,0.75,0.0155,0
0.255275,0.795,-0.00031433498476671933,0.8983050847457628,610.0,0.1321601794979023,253299.0,0.75,0.007,1
0.6015999999999999,0.42000000000000004,2.9205929708862233e-05,0.4565217391304348,32.0,0.10662487097500148,253361.0,0.75,0.0074999999999999,1
0.9571945,0.505,-2.6874328584572776e-05,0.9901960784313726,60.0,0.10739020248911159,253363.0,0.75,0.002,1
0.82623575,0.493,-2.5533033578554255e-05,0.9666666666666667,120.0,0.06836172601954085,253364.0,0.75,0.0075,1
,,,,,,253383.0,0.75,0.435,0
0.5111749999999999,0.47000000000000003,2.5105273943875547e-05,0.8076923076923077,31.0,0.02210583548299334,253384.0,0.75,0.235,0
0.8064250000000003,0.4600000000000001,0.00015520719629312393,0.49197860962566853,99.0,0.17112848809791875,253390.0,0.75,0.2249999999999999,0
0.9717089999999999,0.4885,-0.00010761653341917493,0.9654150197628458,113.0,0.054313238656936436,253391.0,0.75,0.0005,1
0.9649615000000002,0.605,-7.777651901041534e-05,0.952755905511811,327.0,0.08024832571480868,253399.0,0.75,0.0005,1
0.95855,0.755,0.0011368637663412711,0.81,198.0,0.7632198565893158,253401.0,0.75,0.065,0
1.7858750000000005,0.4800000000000001,0.0006024162254921378,0.6272727272727274,145.0,0.4834446639833361,253402.0,0.75,0.5449999999999999,0
0.21122499999999994,0.42499999999999993,0.04014285714285714,0.5151515151515151,2.0,,253973.0,0.75,0.0004999999999999,1
0.41012724999999994,0.478,-0.00020598410063033483,0.956,153.0,0.1735833317046859,254049.0,0.75,0.007,1
0.17706000000000005,0.746,-0.0008903357207631739,0.981578947368421,204.0,0.271985603113265,254557.0,0.75,0.0055,1
0.4787485,0.47650000000000003,-2.1360508217642346e-05,0.9053254437869823,672.0,0.02569320916028333,254571.0,0.75,0.0035,1
0.67480325,0.653,-3.4718911988669095e-05,0.9819548872180451,786.0,0.14343924769874686,254572.0,0.75,0.0005,1
0.31906599999999996,0.5499999999999999,-8.891207422914859e-07,0.9565217391304347,633.0,0.1042158087533229,254573.0,0.75,0.0005,1
0.9814749999999999,0.575,-1.775849084207294e-05,0.9274193548387096,884.0,0.08897517685476361,254576.0,0.75,0.0005,1
0.20771650000000003,0.42400000000000004,1.1005152574943072e-05,0.9318681318681319,1138.0,0.20352573756698886,254577.0,0.75,0.0005,1
0.088033,0.6805,7.36600405345673e-05,0.8783783783783784,1445.0,0.12322444418614964,254578.0,0.75,0.0004999999999999,1
0.13473900000000003,0.407,5.807430671900964e-05,0.8523409363745498,1402.0,0.053659309010112594,254579.0,0.75,0.0005,1
0.059055250000000004,0.27899999999999997,2.0665736032113997e-05,0.9248747913188647,1453.0,0.16124223564794163,254580.0,0.75,0.0005,1
0.03084999999999999,0.20500000000000002,5.174580815073646e-06,0.2764227642276423,218.0,0.09584102058294516,254600.0,0.75,0.5,0
0.36792049999999993,0.6759999999999999,-0.005496670738374279,0.9726618705035971,65.0,0.8334961077086066,254631.0,0.75,0.0075,1
0.13899999999999993,0.445,-0.00023751002878227414,0.8811881188118812,54.0,0.0819553923802646,255333.0,0.75,0.05,0
0.4397145,0.7155,-2.126913500472539e-05,0.7815401419989078,1181.0,0.20997953470998976,255335.0,0.75,0.0134999999999999,0
0.4541764999999999,0.647,1.3967464924491142e-06,0.6843231674692348,783.0,0.13753439552373903,255336.0,0.75,0.0004999999999999,1
0.264348,0.5385,3.279265819068922e-06,0.5568421052631578,695.0,0.10422295913306125,255337.0,0.75,0.0004999999999999,1
0.0008499999999999949,0.039999999999999925,-0.0055714285714285675,0.0701754385964911,1.0,,255410.0,0.75,0.535,0
