,Open,High,Low,Close,Volume,SMA,EMA,SMA_vs_EMA,TR,ATR,RSI,Rolling Mean,Rolling Std,Upper Band,Lower Band,14 High,14 Low,%K,Momentum,Typical Price,CCI,EMA12,EMA26,MACD,MACD Signal,Volume Average
2025-01-28 08:30:00,194.9,194.9,194.5,194.69,256.0,194.7748,193.99319967394507,0.781600326054928,0.4000000000000057,1.1388285714285777,51.515184311348726,193.817855,0.8118602093064712,195.44157541861296,192.19413458138706,196.55,191.79,60.924369747899036,0.01374589234788215,194.69666666666663,74.46169841693319,193.9481818875685,194.2253001835298,-0.27711829596131565,-0.5891068619864013,209857.2142857143
2025-01-28 09:00:00,194.9,195.51,194.5,195.43,3413.0,194.7848,193.838355157044,0.946444842955998,1.009999999999991,1.1845428571428624,55.86868236343574,193.79585500000002,0.7927186860700527,195.3812923721401,192.21041762785993,196.55,191.79,76.47058823529412,0.014377660126648095,195.14666666666668,118.74055819503825,193.8133058671264,194.1881241982122,-0.3748183310858053,-0.6671040034926726,265780.78571428574
2025-01-28 09:30:00,195.295,196.55,192.975,193.8,437997.0,194.5648,193.48465630305378,1.0801436969462088,3.575000000000017,1.419778571428578,45.6646145842366,193.73685500000002,0.703594275643526,195.14404355128707,192.32966644871297,196.6433,191.79,41.41511960933821,0.007014809041309578,194.4416666666667,63.657205207926935,193.5193614793312,194.08877413406918,-0.5694126547379881,-0.7401754215943893,424017.71428571426
2025-01-28 10:00:00,193.8,195.3221,193.72,194.3,335468.0,194.4598,193.41457992595463,1.0452200740453748,1.6021000000000072,1.1951357142857202,52.12928426679211,193.76685500000002,0.7190500747385288,195.2049551494771,192.32875485052296,196.6433,191.79,51.71738816887499,0.006699238887708736,194.44736666666668,65.37982152363253,193.46833629375504,194.11187606479473,-0.6435397710396842,-0.7828661133084895,395909.9285714286
2025-01-28 10:30:00,194.28,194.475,193.3,193.6,239675.0,194.2838,193.21781990950012,1.0659800904998917,1.174999999999983,1.1092714285714342,46.64473468853323,193.771855,0.723287676248573,195.21843035249714,192.32527964750284,196.6433,191.79,37.29421218552316,0.002018529061642793,193.79166666666666,0.9213224992321837,193.3171247108014,194.0968261499783,-0.7797014391769039,-0.8176976988756909,371966.78571428574
2025-01-28 11:00:00,193.61,194.02,191.89,192.0501,264423.0,194.0928,193.13289100050014,0.9599089994998735,2.130000000000024,1.053200000000008,27.083897581199636,193.841355,0.7711063238056304,195.38356764761124,192.29914235238874,196.6433,191.79,5.359240104670909,-0.009846875644462849,192.65336666666667,-109.65600370523369,193.265692840038,194.13657224197658,-0.8708794019385664,-0.8271967638003875,354862.5
2025-01-28 11:30:00,192.16,192.95,191.79,192.66,201989.0,193.9888,193.37351122283354,0.6152887771664552,1.1599999999999966,0.928914285714293,31.02625298329363,194.01335,0.7332438579837239,195.47983771596745,192.54686228403256,196.6433,191.79,17.925947293594074,-0.006087494841106156,192.46666666666667,-138.72945314615544,193.48670972004493,194.3034900213347,-0.8167803012897821,-0.8162761042658427,336001.78571428574
2025-01-28 12:00:00,192.68,192.8,192.14,192.45,305251.0,193.7888,193.53206927235212,0.2567307276478914,0.660000000000025,0.8589142857142937,27.386934673366795,194.10535,0.6669363005227902,195.43922260104557,192.7714773989544,196.6433,192.14,6.8838407390136265,-0.009011328527291473,192.46333333333334,-168.0762102611294,193.63702057823494,194.4349692230415,-0.7979486448065529,-0.8161500550098578,362064.85714285716
2025-01-28 12:30:00,192.51,193.23,192.34,193.007,213310.0,193.6535,193.77252911065258,-0.11902911065257626,0.8899999999999864,0.8246285714285781,30.50657710607335,194.20784999999998,0.5456390049215849,195.29912800984314,193.1165719901568,196.6433,192.34,15.49973276322823,-0.0033204234443583447,192.859,-168.77078660670225,193.85284250155038,194.59376676088482,-0.7409242593344345,-0.820700407560684,380752.28571428574
2025-01-28 13:00:00,193.005,193.48,192.89,193.21,144948.0,193.5197,193.94264669079763,-0.42294669079763025,0.5900000000000034,0.7789142857142934,32.34421364985168,194.295,0.4788527957604154,195.25270559152082,193.33729440847915,196.6433,192.34,20.217042734645577,-0.006172521989609492,193.19333333333336,-167.78505155972698,194.00663204728681,194.7207081017556,-0.7140760544687907,-0.8406444446172463,365590.71428571426
