market_id,horizon,question,slug,total_n_obs,early_n_obs,early_obs_share,total_time_seconds,early_time_seconds,early_time_share,early_first_probability,early_last_probability,early_mean_probability,early_std_probability,early_probability_range,early_realized_volatility,early_trend,early_distance_to_boundary,early_mean_distance_to_boundary,early_min_distance_to_boundary,early_near_boundary,outcome,final_probability,bayesian_fair_probability,mispricing,abs_mispricing,abs_surprise,cluster,market_regime,early_max_drawdown,early_reversals,early_entropy,target
251025,0.75,"Will Ron DeSantis file to run for president by May 31, 2023?",will-ron-desantis-file-to-run-for-president-by-may-31-2023,212,159,0.75,766795.0,575995.0,0.7511720864116224,0.5,0.955,0.8598427672955975,0.14847262606631495,0.7,0.056889361569700446,0.0021010866969190353,0.04500000000000004,0.13418238993710693,0.025000000000000022,1,1,0.995,0.9,-0.0949999999999999,0.0949999999999999,0.005,0,Information Processing,0.6099290780141844,22,0.6049071211700006,1
251027,0.25,USD/TRY (Turkish Lira) above 19.75 on May 22?,usdtry-turkish-lira-above-19pt75-on-may-22,146,37,0.2534246575342466,529154.0,133200.0,0.2517225609179936,0.5,0.515,0.534864864864865,0.049756162187971006,0.24,0.04999107063123515,-0.00014935988620199154,0.485,0.46513513513513505,0.26,0,1,0.825,0.6666666666666666,-0.1583333333333333,0.1583333333333333,0.175,1,Anchored / Noisy,0.304054054054054,3,0.6829081047004717,0
251027,0.5,USD/TRY (Turkish Lira) above 19.75 on May 22?,usdtry-turkish-lira-above-19pt75-on-may-22,146,73,0.5,529154.0,266354.0,0.5033581906212559,0.5,0.8,0.5982191780821918,0.11821992765079632,0.41500000000000004,0.04778178095832443,0.0039986733308651125,0.19999999999999996,0.39876712328767117,0.19499999999999995,0,1,0.825,0.6666666666666666,-0.1583333333333333,0.1583333333333333,0.175,1,Anchored / Noisy,0.47297297297297297,5,0.6931471805599453,0
251027,0.75,USD/TRY (Turkish Lira) above 19.75 on May 22?,usdtry-turkish-lira-above-19pt75-on-may-22,146,110,0.7534246575342466,529154.0,399554.0,0.7550807515392495,0.5,0.92,0.6951363636363637,0.16797288320214876,0.53,0.039748241444462484,0.004755426819647003,0.07999999999999996,0.3028636363636363,0.07999999999999996,0,1,0.825,0.6666666666666666,-0.1583333333333333,0.1583333333333333,0.175,1,Anchored / Noisy,0.47297297297297297,8,0.6853142072764582,0
251045,0.25,US debt ceiling hike by June 1?,us-debt-ceiling-hike-by-june-1,339,85,0.25073746312684364,1216800.0,302400.0,0.2485207100591716,0.405,0.45,0.49047058823529427,0.06620954977790378,0.31,0.049351321420907,-0.0002537619699042411,0.45,0.4450588235294119,0.32,0,0,0.06,0.0384615384615384,-0.0215384615384615,0.0215384615384615,0.06,1,Anchored / Noisy,0.4285714285714286,25,0.6869615765973234,0
251045,0.5,US debt ceiling hike by June 1?,us-debt-ceiling-hike-by-june-1,339,170,0.5014749262536873,1216800.0,608400.0,0.5,0.405,0.39,0.45276470588235296,0.06452606409922919,0.31,0.036508615147583516,-0.0006900299827187181,0.39,0.4300588235294118,0.32,0,0,0.06,0.0384615384615384,-0.0215384615384615,0.0215384615384615,0.06,1,Anchored / Noisy,0.4285714285714286,50,0.6922017029622767,0
251045,0.75,US debt ceiling hike by June 1?,us-debt-ceiling-hike-by-june-1,339,255,0.7522123893805309,1216800.0,914400.0,0.7514792899408284,0.405,0.15,0.40237254901960784,0.11539711659771865,0.515,0.03528926182635421,-0.0011601616778601203,0.15,0.3870392156862745,0.115,0,0,0.06,0.0384615384615384,-0.0215384615384615,0.0215384615384615,0.06,1,Anchored / Noisy,0.8174603174603174,73,0.6916855479178767,0
251046,0.25,Turkish 2nd round turnout over 87%?,turkish-2nd-round-turnout-over-87,104,26,0.25,370800.0,90000.0,0.24271844660194175,0.375,0.4,0.33192307692307693,0.1006486653967843,0.35000000000000003,0.06390096504226939,-0.004854700854700855,0.4,0.33,0.175,0,0,0.445,0.4,-0.0449999999999999,0.0449999999999999,0.445,1,Anchored / Noisy,0.6666666666666667,4,0.6869615765973234,0
251046,0.5,Turkish 2nd round turnout over 87%?,turkish-2nd-round-turnout-over-87,104,52,0.5,370800.0,183600.0,0.49514563106796117,0.375,0.415,0.3458653846153845,0.07985723262053321,0.35000000000000003,0.050113596448664595,0.000651199521898745,0.415,0.34490384615384606,0.175,0,0,0.445,0.4,-0.0449999999999999,0.0449999999999999,0.445,1,Anchored / Noisy,0.6666666666666667,6,0.6853142072764582,0
251046,0.75,Turkish 2nd round turnout over 87%?,turkish-2nd-round-turnout-over-87,104,78,0.75,370800.0,277200.0,0.7475728155339806,0.375,0.42,0.36365384615384627,0.07014212416528018,0.35000000000000003,0.04089439243805498,0.001093526726438119,0.42,0.36301282051282063,0.175,0,0,0.445,0.4,-0.0449999999999999,0.0449999999999999,0.445,1,Anchored / Noisy,0.6666666666666667,8,0.6869615765973234,0
252047,0.25,Will Dillon Danis post 5+ pics of Nina on Aug 24? ,will-dillon-danis-post-5-pics-of-nina-on-aug-24,7,2,0.2857142857142857,21600.0,3601.0,0.16671296296296295,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0,1,0.235,0.5,0.265,0.265,0.765,1,Anchored / Noisy,0.0,0,0.0,0
252047,0.5,Will Dillon Danis post 5+ pics of Nina on Aug 24? ,will-dillon-danis-post-5-pics-of-nina-on-aug-24,7,4,0.5714285714285714,21600.0,10800.0,0.5,0.25,0.235,0.24625,0.007500000000000007,0.015000000000000013,0.008660254037844395,-0.004500000000000004,0.235,0.24625,0.235,0,1,0.235,0.5,0.265,0.265,0.765,1,Anchored / Noisy,0.06000000000000005,0,-0.0,0
252047,0.75,Will Dillon Danis post 5+ pics of Nina on Aug 24? ,will-dillon-danis-post-5-pics-of-nina-on-aug-24,7,6,0.8571428571428571,21600.0,18000.0,0.8333333333333334,0.25,0.235,0.24250000000000002,0.008215838362577499,0.015000000000000013,0.006708203932499375,-0.0038571428571428606,0.235,0.24250000000000002,0.235,0,1,0.235,0.5,0.265,0.265,0.765,1,Anchored / Noisy,0.06000000000000005,0,-0.0,0
252048,0.25,Will Prigozhin make an appearance by Friday?,will-prigozhin-make-an-appearance-by-friday,30,8,0.26666666666666666,104399.0,25199.0,0.24137204379352292,0.055,0.024,0.027937500000000004,0.012393654770544021,0.0395,0.01346114337463133,-0.003410714285714286,0.024,0.027937500000000004,0.0155,1,0,0.01,0.0384615384615384,0.0284615384615384,0.0284615384615384,0.01,1,Anchored / Noisy,0.7181818181818181,4,0.5982695885852573,0
252048,0.5,Will Prigozhin make an appearance by Friday?,will-prigozhin-make-an-appearance-by-friday,30,15,0.5,104399.0,50399.0,0.48275366622285654,0.055,0.021,0.02490000000000001,0.00946270876350198,0.0395,0.009466250055322334,-0.0012089285714285715,0.021,0.02490000000000001,0.0155,1,0,0.01,0.0384615384615384,0.0284615384615384,0.0284615384615384,0.01,1,Anchored / Noisy,0.7181818181818181,6,0.5402041423888608,0
252048,0.75,Will Prigozhin make an appearance by Friday?,will-prigozhin-make-an-appearance-by-friday,30,23,0.7666666666666667,104399.0,79199.0,0.7586183775706664,0.055,0.009,0.020413043478260874,0.009876110034174114,0.046,0.007619893080796511,-0.0011274703557312253,0.009,0.020413043478260874,0.009,1,0,0.01,0.0384615384615384,0.0284615384615384,0.0284615384615384,0.01,1,Anchored / Noisy,0.8363636363636363,8,0.5297061990576545,0
252055,0.25,Will the US confirm that aliens exist in 2023?,will-the-us-confirm-that-aliens-exist-in-2023,3078,770,0.25016244314489927,11077200.0,2768401.0,0.2499188423067201,0.055,0.032,0.03440779220779221,0.0062714861621775055,0.036000000000000004,0.0015023038269864853,-9.469210968960488e-07,0.032,0.03440779220779221,0.019,1,0,0.006,0.0384615384615384,0.0324615384615384,0.0324615384615384,0.006,1,Anchored / Noisy,0.6545454545454547,46,0.6719583059278957,0
252055,0.5,Will the US confirm that aliens exist in 2023?,will-the-us-confirm-that-aliens-exist-in-2023,3078,1539,0.5,11077200.0,5536800.0,0.49983750406239846,0.055,0.0265,0.03150649772579597,0.006084014902675955,0.036000000000000004,0.001121511979898753,-7.539887469392636e-06,0.0265,0.03150649772579597,0.019,1,0,0.006,0.0384615384615384,0.0324615384615384,0.0324615384615384,0.006,1,Anchored / Noisy,0.6545454545454547,61,0.6796983514877128,0
252055,0.75,Will the US confirm that aliens exist in 2023?,will-the-us-confirm-that-aliens-exist-in-2023,3078,2309,0.7501624431448993,11077200.0,8308800.0,0.7500812479688008,0.055,0.013,0.027120831528800345,0.00805797848920706,0.042,0.0009229613723234677,-1.0164209033189056e-05,0.013,0.027120831528800345,0.013,1,0,0.006,0.0384615384615384,0.0324615384615384,0.0324615384615384,0.006,1,Anchored / Noisy,0.7636363636363637,68,0.6581099875431143,0
252101,0.25,Will Rubiales remain Spanish FA president through Sep 11?,will-rubiales-remain-spanish-fa-president-through-sep-11,319,80,0.2507836990595611,1144800.0,284400.0,0.24842767295597484,0.5,0.305,0.32625000000000004,0.10411927191836354,0.28500000000000003,0.03536325611641016,-0.0017565635255508672,0.305,0.32625000000000004,0.215,0,0,0.005,0.0384615384615384,0.0334615384615384,0.0334615384615384,0.005,0,Information Processing,0.5700000000000001,6,0.6890092384766586,1
252101,0.5,Will Rubiales remain Spanish FA president through Sep 11?,will-rubiales-remain-spanish-fa-president-through-sep-11,319,160,0.5015673981191222,1144800.0,572400.0,0.5,0.5,0.575,0.38209375,0.10947483538847334,0.36,0.035613041865244104,0.0012041119770303528,0.42500000000000004,0.36865625,0.215,0,0,0.005,0.0384615384615384,0.0334615384615384,0.0334615384615384,0.005,0,Information Processing,0.5700000000000001,11,0.6145033203107282,1
252101,0.75,Will Rubiales remain Spanish FA president through Sep 11?,will-rubiales-remain-spanish-fa-president-through-sep-11,319,240,0.7523510971786834,1144800.0,860400.0,0.7515723270440252,0.5,0.7,0.4680208333333334,0.16123652544438546,0.535,0.04003846029070908,0.0018266875292973828,0.30000000000000004,0.3610625,0.215,0,0,0.005,0.0384615384615384,0.0334615384615384,0.0334615384615384,0.005,0,Information Processing,0.5700000000000001,15,0.613410049457059,1
252137,0.25,Will SAG end strike by Sep 30?,will-sag-end-strike-by-sep-30,368,92,0.25,1321201.0,327600.0,0.24795621559475053,0.495,0.21,0.123804347826087,0.1006472721313503,0.44,0.05647343697924789,0.0008729559360695403,0.21,0.123804347826087,0.055,0,0,0.015,0.0384615384615384,0.0234615384615384,0.0234615384615384,0.015,0,Information Processing,0.888888888888889,4,0.6931471805599453,1
252137,0.5,Will SAG end strike by Sep 30?,will-sag-end-strike-by-sep-30,368,184,0.5,1321201.0,658800.0,0.49863722476746536,0.495,0.645,0.2708695652173913,0.16945526465393637,0.6,0.05221611100267387,0.002634181580011943,0.355,0.2643478260869565,0.055,0,0,0.015,0.0384615384615384,0.0234615384615384,0.0234615384615384,0.015,0,Information Processing,0.888888888888889,7,0.6730116670092565,1
252137,0.75,Will SAG end strike by Sep 30?,will-sag-end-strike-by-sep-30,368,276,0.75,1321201.0,990001.0,0.7493189908272851,0.495,0.075,0.24601449275362322,0.16427323073054495,0.6,0.04763411896928601,0.0002640401820750275,0.075,0.2390942028985507,0.055,0,0,0.015,0.0384615384615384,0.0234615384615384,0.0234615384615384,0.015,0,Information Processing,0.888888888888889,10,0.6931471805599453,1
252729,0.25,Will the Fed raise interest rates by 0 bps after its December meeting?,will-the-fed-raise-interest-rates-by-0-bps-after-its-december-meeting,1181,296,0.2506350550381033,4248000.0,1062000.0,0.25,0.8,0.925,0.6687162162162164,0.1799553820610906,0.43000000000000005,0.037689297001902766,0.000641365556619794,0.07499999999999996,0.3312837837837838,0.06999999999999995,0,1,0.954,0.9,-0.0539999999999999,0.0539999999999999,0.046,0,Information Processing,0.3827160493827161,7,0.6365141682948128,1
252729,0.5,Will the Fed raise interest rates by 0 bps after its December meeting?,will-the-fed-raise-interest-rates-by-0-bps-after-its-december-meeting,1181,591,0.5004233700254022,4248000.0,2124001.0,0.5000002354048965,0.8,0.9825,0.8035871404399324,0.1863896741078015,0.49,0.026759930601319946,0.0007877469765213894,0.01749999999999996,0.19641285956006765,0.010000000000000009,1,1,0.954,0.9,-0.0539999999999999,0.0539999999999999,0.046,0,Information Processing,0.3827160493827161,31,0.6730116670092565,1
252729,0.75,Will the Fed raise interest rates by 0 bps after its December meeting?,will-the-fed-raise-interest-rates-by-0-bps-after-its-december-meeting,1181,886,0.7502116850127011,4248000.0,3186000.0,0.75,0.8,0.9835,0.8640327313769753,0.17461728142610666,0.49,0.0218473908446599,0.0005064169852730296,0.01649999999999996,0.1359672686230248,0.010000000000000009,1,1,0.954,0.9,-0.0539999999999999,0.0539999999999999,0.046,0,Information Processing,0.3827160493827161,38,0.6884572217893625,1
