market_id,realized_volatility,probability_range,trend,max_drawdown,reversals
248594,0.55335,0.915,-0.0002086035558043571,0.9838709677419355,115
249778,0.15930000000000002,0.28,0.003033596837944664,0.358974358974359,3
250474,0.00885,0.08500000000000002,-0.00035573122529644445,0.21250000000000005,8
251025,0.5131249999999999,0.72,0.0014753813950500816,0.6099290780141844,81
251027,0.18977499999999997,0.53,0.0033300107005485224,0.47297297297297297,34
251045,0.326025,0.615,-0.001653174659401385,0.9761904761904762,178
251046,0.20785000000000003,0.49500000000000005,0.0023402325829510306,0.6666666666666667,39
252047,0.0002250000000000004,0.015000000000000013,-0.003214285714285717,0.06000000000000005,2
252048,0.0013305,0.049,-0.0009536151279199111,0.890909090909091,19
252055,0.011238999999999999,0.049,-8.608546887260568e-06,0.890909090909091,384
252101,1.033725,0.92,0.0017710323386762883,0.9945945945945945,76
252137,0.62855,0.64,-0.0004720637413399367,0.9770992366412213,61
252729,0.7650630000000002,0.491,0.00028999525598278345,0.4863636363636364,153
252730,0.43845774999999987,0.4775,-0.00010229921785182251,0.9680412371134021,152
253299,0.2625505,0.878,-0.00029178705771019123,0.9920903954802259,842
253361,0.61273625,0.493,0.00018683038644469279,0.4565217391304348,70
253363,0.9573995000000001,0.508,-7.940200796708229e-05,0.996078431372549,81
253364,0.82806025,0.504,-3.758664453630998e-05,0.9882352941176471,184
253383,0.001624999999999994,0.039999999999999925,0.010499999999999976,0.008771929824561412,2
253384,0.6983999999999999,0.505,1.441544662832551e-05,0.9711538461538461,51
253390,1.3177750000000001,0.47,-0.00011756029356218951,0.49197860962566853,116
253391,0.9718905000000001,0.5055000000000001,-8.658754465084778e-05,0.99901185770751,173
253399,0.9681007500000001,0.6345000000000001,-6.116247839121605e-05,0.9992125984251969,604
253401,1.5580855,0.8205,-0.0002947892260718296,0.9652941176470589,256
253402,1.8878750000000006,0.4800000000000001,0.0002297093034491117,0.6861313868613139,192
253973,0.37532325000000005,0.8395,0.11814166666666669,0.5151515151515151,2
254049,0.410249,0.493,-0.00020057623110972353,0.986,200
254557,0.17717525000000003,0.757,-0.0008239113328412937,0.9960526315789474,250
254571,0.8702547500000001,0.5055000000000001,-2.2489062912112627e-05,0.9970414201183433,1538
254572,0.6769727500000001,0.6645000000000001,-6.16148359354198e-05,0.9992481203007519,1244
254573,0.3224012499999999,0.5745,-5.778374567031211e-05,0.9991304347826088,1147
254576,0.9887137499999998,0.6195,-5.026061107098651e-05,0.9991935483870968,1652
254577,0.33705774999999993,0.4545,8.878579058475324e-06,0.9989010989010989,2134
254578,0.21942674999999995,0.9770000000000001,0.00012923841810373926,0.8783783783783784,2421
254579,0.13879474999999997,0.416,1.408195680377322e-05,0.9987995198079231,2191
254580,0.05982425,0.299,1.0223448028273877e-06,0.998330550918197,1824
254600,0.05832500000000001,0.20500000000000002,4.495042360803942e-06,0.3153846153846154,392
254631,0.36804824999999997,0.6875,-0.0040449699986666076,0.9892086330935252,73
255333,0.17762499999999992,0.455,-0.00012102034362548769,0.900990099009901,77
255335,0.45203424999999997,0.7875000000000001,6.903691077500798e-05,0.7815401419989078,1938
255336,0.45670924999999996,0.7045000000000001,5.754720698252855e-05,0.6843231674692348,1349
255337,0.26621075,0.5785,4.465429820493566e-05,0.5568421052631578,1244
255410,0.0008749999999999949,0.039999999999999925,-0.004880952380952379,0.0701754385964911,3
