market_id,question,outcome,final_probability,bayesian_fair_probability,mispricing,abs_surprise,realized_volatility,probability_range,trend,max_drawdown,reversals,shannon_entropy,skewness,kurtosis,autocorrelation,cluster,market_regime,abs_mispricing
248594,"Will Hunter Biden be federally indicted by May 1, 2023?",0,0.02,0.0384615384615384,0.0184615384615384,0.02,0.55335,0.915,-0.0002086035558043,0.9838709677419356,115,0.0947828234934516,-8.20944207170127,571.526523760065,-0.0016743964799619,0,Information Processing,0.0184615384615384
249778,MLB: Cincinnati Reds vs. Pittsburgh Pirates 2023-04-02,1,0.55,0.6,0.0499999999999999,0.4499999999999999,0.1593,0.28,0.0030335968379446,0.358974358974359,3,0.3676494774001422,-0.070942109276716,7.681394155996621,-0.5848619833325505,1,Anchored / Noisy,0.0499999999999999
250474,Did US GDP grow 2.5% or more in Q1 2023?,0,0.36,0.3333333333333333,-0.0266666666666666,0.36,0.00885,0.085,-0.0003557312252964,0.2125,8,0.3676494774001422,-1.1949200425538336,8.169362423603983,-0.0086838534599728,1,Anchored / Noisy,0.0266666666666666
251025,"Will Ron DeSantis file to run for president by May 31, 2023?",1,0.995,0.9,-0.0949999999999999,0.005,0.5131249999999999,0.72,0.00147538139505,0.6099290780141844,81,0.4180533664600792,-3.0371671901329145,48.94854906081728,0.1566566582558911,0,Information Processing,0.0949999999999999
251027,USD/TRY (Turkish Lira) above 19.75 on May 22?,1,0.825,0.6666666666666666,-0.1583333333333333,0.175,0.1897749999999999,0.53,0.0033300107005485,0.4729729729729729,34,0.5730826859007165,2.1169018732680858,16.92563336623751,-0.2576604012016029,1,Anchored / Noisy,0.1583333333333333
251045,US debt ceiling hike by June 1?,0,0.06,0.0384615384615384,-0.0215384615384615,0.06,0.326025,0.615,-0.0016531746594013,0.9761904761904762,178,0.8768407746531293,-0.2682982185081105,24.274065112376285,-0.2158909739411427,1,Anchored / Noisy,0.0215384615384615
251046,Turkish 2nd round turnout over 87%?,0,0.445,0.4,-0.0449999999999999,0.445,0.20785,0.495,0.002340232582951,0.6666666666666667,39,0.8045002438186524,0.9520577843080256,13.169033814692906,0.0113641818644454,1,Anchored / Noisy,0.0449999999999999
252047,Will Dillon Danis post 5+ pics of Nina on Aug 24? ,1,0.235,0.5,0.265,0.765,0.000225,0.015,-0.0032142857142857,0.06,2,,-1.7888543819998317,1.1999999999999984,,1,Anchored / Noisy,0.265
252048,Will Prigozhin make an appearance by Friday?,0,0.01,0.0384615384615384,0.0284615384615384,0.01,0.0013305,0.049,-0.0009536151279199,0.890909090909091,19,1.2503663783871843,-2.559468982372794,9.595531912128209,-0.4113486113468366,1,Anchored / Noisy,0.0284615384615384
252055,Will the US confirm that aliens exist in 2023?,0,0.006,0.0384615384615384,0.0324615384615384,0.006,0.0112389999999999,0.049,-8.608546887260568e-06,0.890909090909091,384,0.1945041406519869,5.378802184477899,193.8560139621836,-0.2486421838717115,1,Anchored / Noisy,0.0324615384615384
