timestamp,asset_id,signal,count,age_seconds,mid_price,microprice,edge,imbalance,spread,depth
1781669030.4053686,451152492211906977337666176498098996291871834049428801614467931057647491185,SELL_PRESSURE,2,5.01,0.950,0.9440640494188409331057465659,-0.0059359505811590668942534341,0.2032024709420466552873282939,0.02,2460.6
1781669030.4058957,87751002334263217722007917089550645962228521219596009977642407321283595187260,BUY_PRESSURE,2,5.01,0.050,0.05593595058115906689425343412,0.00593595058115906689425343412,0.7967975290579533447126717061,0.02,2460.6
1781669030.4066706,106117170598299515991778271448868055604686257762862584190468389838818487912270,BUY_PRESSURE,2,5.011,0.905,0.9080538496706990077722448072,0.0030538496706990077722448072,0.8053849670699007772244807177,0.01,809.29
1781669030.4073741,76135093137529775403286749332694365087565296296554683824282605293013654328381,BUY_PRESSURE,2,5.012,0.105,0.1075621922500535217298223079,0.0025621922500535217298223079,0.7562192250053521729822307857,0.01,934.20
1781669030.4078796,58001349642571524567543858715592455030153471559718323620844080987870238499631,SELL_PRESSURE,2,5.012,0.095,0.09194615032930099222775519282,-0.00305384967069900777224480718,0.1946150329300992227755192823,0.01,809.29
1781669030.4086363,9955638384017424271469919771014656710534847362374264075493263668768212521280,SELL_PRESSURE,2,5.013,0.895,0.8924378077499464782701776921,-0.0025621922500535217298223079,0.2437807749946478270177692143,0.01,934.20
1781669035.4246578,451152492211906977337666176498098996291871834049428801614467931057647491185,SELL_PRESSURE,3,10.029,0.950,0.9440640494188409331057465659,-0.0059359505811590668942534341,0.2032024709420466552873282939,0.02,2460.6
1781669035.4264724,87751002334263217722007917089550645962228521219596009977642407321283595187260,BUY_PRESSURE,3,10.031,0.050,0.05593595058115906689425343412,0.00593595058115906689425343412,0.7967975290579533447126717061,0.02,2460.6
1781669035.4280696,106117170598299515991778271448868055604686257762862584190468389838818487912270,BUY_PRESSURE,3,10.032,0.905,0.9080538496706990077722448072,0.0030538496706990077722448072,0.8053849670699007772244807177,0.01,809.29
1781669035.4296906,76135093137529775403286749332694365087565296296554683824282605293013654328381,BUY_PRESSURE,3,10.034,0.105,0.1075621922500535217298223079,0.0025621922500535217298223079,0.7562192250053521729822307857,0.01,934.20
1781669035.430998,58001349642571524567543858715592455030153471559718323620844080987870238499631,SELL_PRESSURE,3,10.035,0.095,0.09194615032930099222775519282,-0.00305384967069900777224480718,0.1946150329300992227755192823,0.01,809.29
1781669035.432147,9955638384017424271469919771014656710534847362374264075493263668768212521280,SELL_PRESSURE,3,10.036,0.895,0.8924378077499464782701776921,-0.0025621922500535217298223079,0.2437807749946478270177692143,0.01,934.20
1781669040.441062,451152492211906977337666176498098996291871834049428801614467931057647491185,SELL_PRESSURE,4,15.045,0.950,0.9440640494188409331057465659,-0.0059359505811590668942534341,0.2032024709420466552873282939,0.02,2460.6
1781669040.4415493,87751002334263217722007917089550645962228521219596009977642407321283595187260,BUY_PRESSURE,4,15.046,0.050,0.05593595058115906689425343412,0.00593595058115906689425343412,0.7967975290579533447126717061,0.02,2460.6
1781669040.4422328,106117170598299515991778271448868055604686257762862584190468389838818487912270,BUY_PRESSURE,4,15.047,0.905,0.9080538496706990077722448072,0.0030538496706990077722448072,0.8053849670699007772244807177,0.01,809.29
1781669040.44293,76135093137529775403286749332694365087565296296554683824282605293013654328381,BUY_PRESSURE,4,15.047,0.105,0.1075621922500535217298223079,0.0025621922500535217298223079,0.7562192250053521729822307857,0.01,934.20
1781669040.4435804,58001349642571524567543858715592455030153471559718323620844080987870238499631,SELL_PRESSURE,4,15.048,0.095,0.09194615032930099222775519282,-0.00305384967069900777224480718,0.1946150329300992227755192823,0.01,809.29
1781669040.444136,9955638384017424271469919771014656710534847362374264075493263668768212521280,SELL_PRESSURE,4,15.048,0.895,0.8924378077499464782701776921,-0.0025621922500535217298223079,0.2437807749946478270177692143,0.01,934.20
1781669045.4551852,451152492211906977337666176498098996291871834049428801614467931057647491185,SELL_PRESSURE,5,20.06,0.950,0.9440640494188409331057465659,-0.0059359505811590668942534341,0.2032024709420466552873282939,0.02,2460.6
1781669045.4557133,87751002334263217722007917089550645962228521219596009977642407321283595187260,BUY_PRESSURE,5,20.06,0.050,0.05593595058115906689425343412,0.00593595058115906689425343412,0.7967975290579533447126717061,0.02,2460.6
1781669045.4561412,106117170598299515991778271448868055604686257762862584190468389838818487912270,BUY_PRESSURE,5,20.06,0.905,0.9080538496706990077722448072,0.0030538496706990077722448072,0.8053849670699007772244807177,0.01,809.29
